Breaks;Date;Time;V2V_CAPTAGE_CO2 [B];VANNE_PROP_FOND [I];VANNE_UTA_CHAUD [I];VANNE_UTA_FROID [I];VENTILATEUR_CTA [B];MOLE_CO2_DERIVEE [R];ORIGINE_COLONNES [B];V2V_INJECTION_N2 [B];V2V_INJECTION_O2 [B];V2V_INJ_AIR_NEUF [B]
OPEN;19/06/2025;19:44:27;0;0;0;35;1;246;0;0;0;1
OPEN;19/06/2025;19:44:57;0;0;55;0;1;323;0;0;0;1
OPEN;19/06/2025;19:45:27;0;0;100;0;1;313;0;0;0;1
OPEN;19/06/2025;19:45:57;0;0;84;0;1;298;0;0;0;1
OPEN;19/06/2025;19:46:27;0;0;30;0;1;255;0;0;0;1
OPEN;19/06/2025;19:46:57;0;0;0;31;1;299;0;0;0;1
OPEN;19/06/2025;19:47:27;0;0;0;22;1;267;0;0;0;1
OPEN;19/06/2025;19:47:57;0;0;67;0;1;277;0;0;0;1
OPEN;19/06/2025;19:48:27;0;0;100;0;1;326;0;0;0;1
OPEN;19/06/2025;19:48:57;0;0;80;0;1;267;0;0;0;1
OPEN;19/06/2025;19:49:27;0;0;23;0;1;274;0;0;0;1
OPEN;19/06/2025;19:49:57;0;0;0;40;1;337;0;0;0;1
OPEN;19/06/2025;19:50:27;0;0;0;14;1;275;0;0;0;1
OPEN;19/06/2025;19:50:57;0;0;80;0;1;291;0;0;0;1
OPEN;19/06/2025;19:51:27;0;0;100;0;1;289;0;0;0;1
OPEN;19/06/2025;19:51:57;0;0;71;0;1;296;0;0;0;1
OPEN;19/06/2025;19:52:27;0;0;12;0;1;298;0;0;0;1
OPEN;19/06/2025;19:52:57;0;0;0;44;1;305;0;0;0;1
OPEN;19/06/2025;19:53:27;0;0;9;0;1;310;0;0;0;1
OPEN;19/06/2025;19:53:57;0;0;88;0;1;268;0;0;0;1
OPEN;19/06/2025;19:54:27;0;0;100;0;1;271;0;0;0;1
OPEN;19/06/2025;19:54:57;0;0;63;0;1;312;0;0;0;1
OPEN;19/06/2025;19:55:27;0;0;4;5;1;267;0;0;0;1
OPEN;19/06/2025;19:55:57;0;0;0;40;1;279;0;0;0;1
OPEN;19/06/2025;19:56:27;0;0;25;0;1;287;0;0;0;1
OPEN;19/06/2025;19:56:57;0;0;84;0;1;289;0;0;0;1
OPEN;19/06/2025;19:57:27;0;0;84;0;1;295;0;0;0;1
OPEN;19/06/2025;19:57:57;0;0;42;0;1;309;0;0;0;1
OPEN;19/06/2025;19:58:27;0;0;0;22;1;321;0;0;0;1
OPEN;19/06/2025;19:58:57;0;0;0;27;1;332;0;0;0;1
OPEN;19/06/2025;19:59:27;0;0;55;0;1;299;0;0;0;1
OPEN;19/06/2025;19:59:57;0;0;96;0;1;300;0;0;0;1
OPEN;19/06/2025;20:00:27;0;0;80;0;1;294;0;0;0;1
OPEN;19/06/2025;20:00:57;0;0;15;0;1;302;0;0;0;1
OPEN;19/06/2025;20:01:27;0;0;0;35;1;290;0;0;0;1
OPEN;19/06/2025;20:01:57;0;0;13;0;1;317;0;0;0;1
OPEN;19/06/2025;20:02:27;0;0;84;0;1;305;0;0;0;1
OPEN;19/06/2025;20:02:57;0;0;88;0;1;345;0;0;0;1
OPEN;19/06/2025;20:03:27;0;0;49;0;1;276;0;0;0;1
OPEN;19/06/2025;20:03:57;0;0;0;0;1;304;0;0;0;1
OPEN;19/06/2025;20:04:27;0;0;0;35;1;325;0;0;0;1
OPEN;19/06/2025;20:04:57;0;0;42;0;1;295;0;0;0;1
OPEN;19/06/2025;20:05:27;0;0;92;0;1;295;0;0;0;1
OPEN;19/06/2025;20:05:57;0;0;88;0;1;304;0;0;0;1
OPEN;19/06/2025;20:06:27;0;0;45;0;1;283;0;0;0;1
OPEN;19/06/2025;20:06:57;0;0;0;18;1;282;0;0;0;1
OPEN;19/06/2025;20:07:27;0;0;0;35;1;296;0;0;0;1
OPEN;19/06/2025;20:07:57;0;0;46;0;1;283;0;0;0;1
OPEN;19/06/2025;20:08:27;0;0;96;0;1;298;0;0;0;1
OPEN;19/06/2025;20:08:57;0;0;88;0;1;284;0;0;0;1
OPEN;19/06/2025;20:09:27;0;0;38;0;1;323;0;0;0;1
OPEN;19/06/2025;20:09:57;0;0;0;31;1;292;0;0;0;1
OPEN;19/06/2025;20:10:27;0;0;0;22;1;293;0;0;0;1
OPEN;19/06/2025;20:10:57;0;0;80;0;1;281;0;0;0;1
OPEN;19/06/2025;20:10:58;0;0;100;0;1;281;0;0;0;1
OPEN;19/06/2025;20:11:28;0;0;100;0;1;352;0;0;0;1
OPEN;19/06/2025;20:11:58;0;0;75;0;1;277;0;0;0;1
OPEN;19/06/2025;20:12:28;0;0;15;0;1;311;0;0;0;1
OPEN;19/06/2025;20:12:58;0;0;0;35;1;281;0;0;0;1
OPEN;19/06/2025;20:13:28;0;0;9;0;1;275;0;0;0;1
OPEN;19/06/2025;20:13:58;0;0;88;0;1;300;0;0;0;1
OPEN;19/06/2025;20:14:28;0;0;100;0;1;283;0;0;0;1
OPEN;19/06/2025;20:14:58;0;0;67;0;1;312;0;0;0;1
OPEN;19/06/2025;20:15:28;0;0;8;0;1;292;0;0;0;1
OPEN;19/06/2025;20:15:58;0;0;0;40;1;293;0;0;0;1
OPEN;19/06/2025;20:16:28;0;0;25;0;1;306;0;0;0;1
OPEN;19/06/2025;20:16:58;0;0;88;0;1;340;0;0;0;1
OPEN;19/06/2025;20:17:28;0;0;88;0;1;342;0;0;0;1
OPEN;19/06/2025;20:17:58;0;0;45;0;1;316;0;0;0;1
OPEN;19/06/2025;20:18:28;0;0;0;22;1;333;0;0;0;1
OPEN;19/06/2025;20:18:58;0;0;0;27;1;297;0;0;0;1
OPEN;19/06/2025;20:19:28;0;0;59;0;1;329;0;0;0;1
OPEN;19/06/2025;20:19:58;0;0;96;0;1;315;0;0;0;1
OPEN;19/06/2025;20:20:28;0;0;80;0;1;298;0;0;0;1
OPEN;19/06/2025;20:20:58;0;0;27;0;1;265;0;0;0;1
OPEN;19/06/2025;20:21:28;0;0;0;35;1;285;0;0;0;1
OPEN;19/06/2025;20:21:58;0;0;0;18;1;335;0;0;0;1
OPEN;19/06/2025;20:22:28;0;0;80;0;1;297;0;0;0;1
OPEN;19/06/2025;20:22:58;0;0;92;0;1;307;0;0;0;1
OPEN;19/06/2025;20:23:28;0;0;67;0;1;283;0;0;0;1
OPEN;19/06/2025;20:23:58;0;0;12;0;1;307;0;0;0;1
OPEN;19/06/2025;20:24:28;0;0;0;44;1;301;0;0;0;1
OPEN;19/06/2025;20:24:58;0;0;17;0;1;274;0;0;0;1
OPEN;19/06/2025;20:25:28;0;0;92;0;1;277;0;0;0;1
OPEN;19/06/2025;20:25:58;0;0;96;0;1;322;0;0;0;1
OPEN;19/06/2025;20:26:28;0;0;63;0;1;343;0;0;0;1
OPEN;19/06/2025;20:26:58;0;0;0;0;1;270;0;0;0;1
OPEN;19/06/2025;20:27:28;0;0;0;44;1;266;0;0;0;1
OPEN;19/06/2025;20:27:58;0;0;30;0;1;325;0;0;0;1
OPEN;19/06/2025;20:28:28;0;0;92;0;1;308;0;0;0;1
OPEN;19/06/2025;20:28:58;0;0;92;0;1;272;0;0;0;1
OPEN;19/06/2025;20:29:28;0;0;45;0;1;294;0;0;0;1
OPEN;19/06/2025;20:29:58;0;0;0;18;1;318;0;0;0;1
OPEN;19/06/2025;20:30:28;0;0;0;35;1;308;0;0;0;1
OPEN;19/06/2025;20:30:58;0;0;34;0;1;317;0;0;0;1
OPEN;19/06/2025;20:31:28;0;0;96;0;1;319;0;0;0;1
OPEN;19/06/2025;20:31:58;0;0;88;0;1;308;0;0;0;1
OPEN;19/06/2025;20:32:28;0;0;34;0;1;285;0;0;0;1
OPEN;19/06/2025;20:32:58;0;0;0;31;1;281;0;0;0;1
OPEN;19/06/2025;20:33:28;0;0;0;18;1;278;0;0;0;1
OPEN;19/06/2025;20:33:58;0;0;71;0;1;315;0;0;0;1
OPEN;19/06/2025;20:34:28;0;0;96;0;1;289;0;0;0;1
OPEN;19/06/2025;20:34:58;0;0;75;0;1;319;0;0;0;1
OPEN;19/06/2025;20:35:28;0;0;19;0;1;303;0;0;0;1
OPEN;19/06/2025;20:35:58;0;0;0;44;1;287;0;0;0;1
OPEN;19/06/2025;20:36:29;0;0;0;9;1;283;0;0;0;1
OPEN;19/06/2025;20:36:59;0;0;88;0;1;319;0;0;0;1
OPEN;19/06/2025;20:37:29;0;0;100;0;1;313;0;0;0;1
