Breaks;Date;Time;VIDANGE_CANIVEAU [B];CONSIGNE_ROTATION [I];CONSIGNE_TEMP_INF [R];CONSIGNE_TEMP_SUP [R];DESHUMIDIFICATEUR [B];POIDS_EAU_CELLULE [R];POMPE_GENER_CHAUD [B];POMPE_GENER_FROID [B];TEMPERATURE_SONDE [R];V2V_ABSORBTION_O2 [B]
OPEN;19/06/2025;10:31:03;0;0;12;12;1;5,5874095;1;1;12,2;0
OPEN;19/06/2025;10:31:06;0;0;12;12;0;5,5874095;1;1;12,2;0
OPEN;19/06/2025;10:31:36;0;0;12;12;0;5,707746;1;1;12,3;0
OPEN;19/06/2025;10:32:06;0;0;12;12;0;6,1828599;1;1;12,4;0
OPEN;19/06/2025;10:32:27;0;0;12;12;0;5,2542839;1;1;12,4;0
OPEN;19/06/2025;10:32:36;0;0;12;12;1;5,2542839;1;1;12,4;0
OPEN;19/06/2025;10:33:06;0;0;12;12;1;4,3430004;1;1;12,1;0
OPEN;19/06/2025;10:33:36;0;0;12;12;1;4,7017808;1;1;11,9;0
OPEN;19/06/2025;10:34:06;0;0;12;12;1;5,2554092;1;1;11,9;0
OPEN;19/06/2025;10:34:17;0;0;12;12;1;5,9016047;1;1;12;0
OPEN;19/06/2025;10:34:36;0;0;12;12;0;5,9016047;1;1;12;0
OPEN;19/06/2025;10:35:06;0;0;12;12;0;6,128768;1;1;12,3;0
OPEN;19/06/2025;10:35:27;0;0;12;12;0;4,9769292;1;1;12,4;0
OPEN;19/06/2025;10:35:36;0;0;12;12;1;4,9769292;1;1;12,4;0
OPEN;19/06/2025;10:36:06;0;0;12;12;1;4,2846098;1;1;12,1;0
OPEN;19/06/2025;10:36:36;0;0;12;12;1;4,6700354;1;1;11,9;0
OPEN;19/06/2025;10:37:06;0;0;12;12;1;5,3266854;1;1;11,9;0
OPEN;19/06/2025;10:37:08;0;0;12;12;1;6,0722804;1;1;12,1;0
OPEN;19/06/2025;10:37:36;0;0;12;12;0;6,0722804;1;1;12,1;0
OPEN;19/06/2025;10:38:06;0;0;12;12;0;6,0479989;1;1;12,3;0
OPEN;19/06/2025;10:38:22;0;0;12;12;0;4,8779349;1;1;12,3;0
OPEN;19/06/2025;10:38:36;0;0;12;12;1;4,8779349;1;1;12,3;0
OPEN;19/06/2025;10:39:06;0;0;12;12;1;4,4992294;1;1;12,1;0
OPEN;19/06/2025;10:39:37;0;0;12;12;1;4,9105124;1;1;12;0
OPEN;19/06/2025;10:39:57;0;0;12;12;1;5,594171;1;1;12;0
OPEN;19/06/2025;10:40:07;0;0;12;12;0;5,594171;1;1;12;0
OPEN;19/06/2025;10:40:37;0;0;12;12;0;6,1946759;1;1;12,3;0
OPEN;19/06/2025;10:41:07;0;0;12;12;0;5,7445211;1;1;12,4;0
