Datetime;Breaks;HYGROMETRIE_CELLULE [I];HYGROMETRIE_CONSIGNE [I];TEMPERATURE_REPRISE [R];TEMPERATURE_CONSIGNE [R];POIDS_EAU_CELLULE [R];POIDS_EAU_CONSIGNE [R]
2025-02-25 20:49:53;;81.0;3.0;-0.1;-0.51;3.0281088;0.10841442
2025-02-25 20:50:23;;82.0;3.0;-0.2;-0.51;3.0432878;0.10841442
2025-02-25 20:50:53;;81.0;3.0;-0.40000001;-0.51;2.9621987;0.10841442
2025-02-25 20:51:23;;80.0;3.0;-0.60000002;-0.51;2.8827693;0.10841442
2025-02-25 20:51:53;;79.0;3.0;-0.60000002;-0.51;2.8465695;0.10841442
2025-02-25 20:52:23;;79.0;3.0;-0.5;-0.51;2.8675749;0.10841442
2025-02-25 20:52:53;;80.0;3.0;-0.30000001;-0.51;2.9470108;0.10841442
2025-02-25 20:53:23;;81.0;3.0;-0.2;-0.5425;3.005995;0.10841442
2025-02-25 20:53:53;;82.0;3.0;-0.2;-0.5425;3.0432878;0.10841442
2025-02-25 20:54:23;;82.0;3.0;-0.40000001;-0.5425;2.9989452;0.10841442
2025-02-25 20:54:53;;81.0;3.0;-0.60000002;-0.5425;2.9189727;0.10841442
2025-02-25 20:55:23;;80.0;3.0;-0.5;-0.5425;2.904043;0.10841442
2025-02-25 20:55:53;;80.0;3.0;-0.40000001;-0.5425;2.925456;0.10841442
2025-02-25 20:56:23;;81.0;3.0;-0.30000001;-0.5425;2.9840252;0.10841442
2025-02-25 20:56:53;;82.0;3.0;-0.2;-0.5425;3.0432878;0.10841442
2025-02-25 20:57:23;;82.0;3.0;-0.2;-0.5425;3.0432878;0.10841442
2025-02-25 20:57:53;;82.0;3.0;-0.40000001;-0.5425;2.9989452;0.10841442
2025-02-25 20:58:23;;81.0;3.0;-0.40000001;-0.5425;2.9621987;0.10841442
2025-02-25 20:58:53;;81.0;3.0;-0.40000001;-0.5425;2.9621987;0.10841442
2025-02-25 20:59:23;;81.0;3.0;-0.30000001;-0.575;2.9840252;0.10841442
2025-02-25 20:59:53;;82.0;3.0;-0.2;-0.575;3.0432878;0.10841442
2025-02-25 21:00:23;;82.0;3.0;-0.2;-0.575;3.0432878;0.10841442
2025-02-25 21:00:53;;83.0;3.0;-0.30000001;-0.575;3.0580671;0.10841442
2025-02-25 21:01:23;;82.0;3.0;-0.5;-0.575;2.9769917;0.10841442
2025-02-25 21:01:53;;81.0;3.0;-0.5;-0.575;2.940515;0.10841442
2025-02-25 21:02:23;;81.0;3.0;-0.40000001;-0.575;2.9621987;0.10841442
2025-02-25 21:02:53;;82.0;3.0;-0.30000001;-0.575;3.021044;0.10841442
2025-02-25 21:03:23;;82.0;3.0;-0.1;-0.6075;3.0656769;0.10762374
2025-02-25 21:03:53;;83.0;3.0;-0.2;-0.6075;3.0805843;0.10762374
2025-02-25 21:04:23;;82.0;3.0;-0.60000002;-0.6075;2.9551809;0.10762374
2025-02-25 21:04:53;;80.0;3.0;-0.89999998;-0.6075;2.8197789;0.10762374
2025-02-25 21:05:23;;78.0;3.0;-1.0;-0.6075;2.7287726;0.10762374
2025-02-25 21:05:53;;78.0;3.0;-0.69999999;-0.6075;2.7897732;0.10762374
2025-02-25 21:06:23;;78.0;3.0;-0.5;-0.6075;2.8311114;0.10762374
2025-02-25 21:06:53;;80.0;3.0;-0.2;-0.6075;2.9687068;0.10762374
2025-02-25 21:07:23;;81.0;3.0;-0.1;-0.6075;3.0281088;0.10762374
2025-02-25 21:07:53;;80.0;3.0;-0.40000001;-0.6075;2.925456;0.10762374
2025-02-25 21:08:23;;78.0;3.0;-0.80000001;-0.64;2.7693069;0.10762374
2025-02-25 21:08:53;;75.0;3.0;-0.89999998;-0.64;2.6427939;0.10762374
2025-02-25 21:09:23;;75.0;3.0;-0.80000001;-0.64;2.6623385;0.10762374
