YEAR,MO,DY,HR,Humidity,Temperature
2025,1,12,0,3.53,-1.2
2025,1,12,1,3.5,-0.97
2025,1,12,2,3.43,-0.92
2025,1,12,3,3.36,-1.09
2025,1,12,4,3.3,-1.29
2025,1,12,5,3.27,-1.39
2025,1,12,6,3.25,-1.47
2025,1,12,7,3.21,-1.62
2025,1,12,8,3.22,-1.34
2025,1,12,9,3.38,-0.43
2025,1,12,10,3.71,1.23
2025,1,12,11,3.99,2.52
2025,1,12,12,4.1,3.78
2025,1,12,13,3.99,4.21
2025,1,12,14,3.97,3.86
2025,1,12,15,3.97,1.82
2025,1,12,16,3.86,0.11
2025,1,12,17,3.86,-0.39
2025,1,12,18,3.79,-1.46
2025,1,12,19,3.71,-1.35
2025,1,12,20,3.61,-0.67
2025,1,12,21,3.52,-0.76
2025,1,12,22,3.43,-1.12
2025,1,12,23,3.36,-1.44
2025,1,13,0,3.32,-1.85
2025,1,13,1,3.28,-2.34
2025,1,13,2,3.23,-2.3
2025,1,13,3,3.12,-2.12
2025,1,13,4,3.02,-2.3
2025,1,13,5,2.95,-2.71
2025,1,13,6,2.87,-2.94
2025,1,13,7,2.82,-3.21
2025,1,13,8,2.86,-2.54
2025,1,13,9,2.97,-0.83
2025,1,13,10,2.89,1.35
2025,1,13,11,2.89,2.43
2025,1,13,12,2.91,3.07
2025,1,13,13,2.95,3.3
2025,1,13,14,3.11,2.83
2025,1,13,15,3.18,-0.07
2025,1,13,16,2.99,-2.82
2025,1,13,17,3.01,-3.38
2025,1,13,18,3.01,-3.61
2025,1,13,19,2.99,-3.82
2025,1,13,20,2.95,-4.07
2025,1,13,21,2.89,-4.31
2025,1,13,22,2.84,-4.56
2025,1,13,23,2.79,-4.75
2025,1,14,0,2.74,-4.93
2025,1,14,1,2.69,-5.1
2025,1,14,2,2.65,-5.23
2025,1,14,3,2.63,-5.24
2025,1,14,4,2.63,-5.1
2025,1,14,5,2.61,-4.82
2025,1,14,6,2.59,-4.46
2025,1,14,7,2.55,-4.42
2025,1,14,8,2.58,-3.77
2025,1,14,9,2.7,-2.32
2025,1,14,10,2.73,-0.05
2025,1,14,11,2.89,1.4
2025,1,14,12,3.05,2.52
2025,1,14,13,3.18,3.1
2025,1,14,14,3.53,2.77
2025,1,14,15,3.19,1.18
2025,1,14,16,3.05,-0.03
2025,1,14,17,3.05,-0.71
2025,1,14,18,3.06,-0.98
2025,1,14,19,3.07,-0.81
2025,1,14,20,3.08,-0.37
2025,1,14,21,3.09,-0.21
2025,1,14,22,3.1,-0.42
2025,1,14,23,3.12,-0.47
2025,1,15,0,3.13,-1.04
2025,1,15,1,3.16,-1.47
2025,1,15,2,3.23,-1.47
2025,1,15,3,3.32,-1.2
2025,1,15,4,3.41,-0.83
2025,1,15,5,3.54,-0.43
2025,1,15,6,3.69,0.2
2025,1,15,7,3.82,0.6
2025,1,15,8,3.94,1.1
2025,1,15,9,4.07,1.74
2025,1,15,10,4.24,2.39
2025,1,15,11,4.39,2.85
2025,1,15,12,4.52,3.18
2025,1,15,13,4.62,3.39
2025,1,15,14,4.65,3.19
2025,1,15,15,4.6,2.2
2025,1,15,16,4.55,1.29
2025,1,15,17,4.56,1.23
2025,1,15,18,4.56,1.33
2025,1,15,19,4.52,1.34
2025,1,15,20,4.48,1.53
2025,1,15,21,4.42,1.66
2025,1,15,22,4.35,1.65
2025,1,15,23,4.29,1.55
