Datetime,Breaks,Date,Time,VANNE_UTA_CHAUD [I],VANNE_UTA_FROID [I],TEMPERATURE_SONDE [R],PRESSION_EXTERIEUR [R],HYGROMETRIE_CELLULE [R],TEMPERATURE_REPRISE [R],TEMPERATURE_CONSIGNE [R],TEMPERATURE_SOUFFLAGE [R],TEMPERATURE_ALLER_CHAUD [R],TEMPERATURE_ALLER_FROID [R],MA_VARIATEUR [B]
1756735831.0,0.0,0.0,0.0,21.7,0.6,19.57499995,1055.0,60.45,19.22,20.0,21.47000025,43.3700006,-5.36999998,0.0
1756736131.0,0.0,0.0,0.0,22.5,0.625,19.462499875,1055.0,61.083333333333336,19.141666833333336,20.0,21.333333375,42.98750045833333,-5.158333383333333,0.0
1756736431.0,0.0,0.0,0.0,32.4,0.0,19.085000200000003,1055.0,58.6,18.62500005,20.0,20.83999995,43.4850003,-5.3899999350000005,0.0
1756736732.0,0.0,0.0,0.0,27.8,0.3,19.2800003,1055.0,58.9,18.81,20.0,21.0400001,43.1599988,-5.41999998,0.0
1756737032.0,0.0,0.0,0.0,21.2,0.6,19.5900001,1055.0,60.7,19.16,20.0,21.360000300000003,42.8700001,-5.04000001,0.0
1756737332.0,0.0,0.0,0.0,23.6,0.3,19.4300001,1055.0,61.3,19.11,20.0,21.3000001,43.5400002,-5.14000006,0.0
1756737632.0,0.0,0.0,0.0,32.6,0.0,19.0499997,1055.0,59.0,18.66,20.0,20.8299999,43.1000005,-5.09000006,0.0
1756737932.0,0.0,0.0,0.0,29.7,0.3,19.1449997,1055.0,58.35,18.68500005,20.0,20.8549998,43.38000015,-5.50499997,0.0
1756738232.0,0.0,0.0,0.0,22.047619047619047,0.2857142857142857,19.504761952380957,1055.0,60.142857142857146,19.104761714285715,20.0,21.34761938095238,43.29999995238095,-5.252380914285714,0.0
1756738533.0,0.0,0.0,0.0,22.9,0.3,19.4899999,1055.0,60.8,19.1699996,20.0,21.3600001,42.8699996,-5.2,0.0
1756738833.0,0.0,0.0,0.0,29.5,0.2,19.1999999,1055.0,60.1,18.82,20.0,20.96,43.4800004,-5.06000004,0.0
1756739133.0,0.0,0.0,0.0,35.1,0.5,18.9800002,1055.0,57.5,18.4899998,20.0,20.7399998,43.1700001,-5.35,0.0
1756739433.0,0.0,0.0,0.0,22.6,0.6,19.5,1055.0,60.1,19.09,20.0,21.3000001,43.0700001,-5.39999995,0.0
1756739733.0,0.0,0.0,0.0,23.0,0.5,19.4900001,1055.0,61.4,19.1849999,20.0,21.39000055,43.5550004,-5.179999995,0.0
1756740033.0,0.0,0.0,0.0,31.3,0.1,19.10500005,1055.0,59.15,18.67999975,20.0,20.8699999,43.0700001,-5.379999945,0.0
1756740333.0,0.0,0.0,0.0,31.0,0.4,19.19000035,1055.0,58.6,18.72000015,20.0,20.91000015,43.27999965,-5.47499995,0.0
1756740634.0,0.0,0.0,0.0,24.2,0.6,19.42,1055.0,59.4,18.9999999,20.0,21.21,43.1999995,-5.27999997,0.0
1756740934.0,0.0,0.0,0.0,21.7,0.4,19.5399997,1055.0,61.1,19.1699999,20.0,21.3499999,42.8599998,-5.29999995,0.0
