Breaks,Date,Time,BP_R134_EN_BARS [R],HP_R134_EN_BARS [R],BP_R134_EN_DEGRES [R],HP_R134_EN_DEGRES [R],CONSIGNE_BALLON_CHAUD [R],CONSIGNE_BALLON_FROID [R],TEMPERATURE_MEG_CHAUD [R],TEMPERATURE_MEG_FROID [R]
nan,,,0.42351997,10.75,-18.291842,36.522911,45.0,-6.0,44.700001,-2.7
nan,,,0.36783999,10.74,-19.253181,36.492168,45.0,-6.0,44.700001,-2.7
nan,,,0.39855999,10.795,-18.718616,36.661083,45.0,-6.0,44.599998,-2.5999999
nan,,,0.412,10.94,-18.487986,37.104576,45.0,-6.0,44.700001,-2.5
nan,,,0.45615995,10.94,-17.743656,37.104576,45.0,-6.0,44.700001,-2.5999999
nan,,,0.33712,10.825,-19.798323,36.753063,45.0,-6.0,44.700001,-2.8
nan,,,0.46575999,10.9,-17.584511,36.982498,45.0,-6.0,44.700001,-2.9000001
nan,,,0.33712,10.9,-19.798323,36.982498,45.0,-6.0,44.700001,-3.0999999
nan,,,0.24879998,10.335,-21.427711,35.236542,45.0,-6.0,44.5,-3.0999999
nan,,,0.40623999,12.275,-18.58659,41.065441,45.0,-6.0,44.299999,-4.5999999
nan,,,0.38319999,12.355,-18.984598,41.295906,45.0,-6.0,44.200001,-5.8000002
nan,,,0.59631991,13.165,-15.508688,43.586521,45.0,-6.0,44.200001,-5.1999998
nan,,,0.41007996,12.615,-18.520817,42.039627,45.0,-6.0,44.200001,-5.1999998
nan,,,0.41007996,12.615,-18.520817,42.039627,45.0,-6.0,44.299999,-5.9000001
nan,,,0.57903993,13.29,-15.77437,43.933147,45.0,-6.0,44.299999,-5.9000001
nan,,,0.57903993,13.29,-15.77437,43.933147,45.0,-6.0,44.5,-5.4000001
nan,,,0.86319995,13.335,-11.709274,44.057491,45.0,-6.0,44.5,-5.4000001
nan,,,0.86319995,13.335,-11.709274,44.057491,45.0,-6.0,44.700001,-5.6999998
nan,,,0.44655997,13.005,-17.903742,43.140186,45.0,-6.0,44.700001,-5.6999998
nan,,,0.44655997,13.005,-17.903742,43.140186,45.0,-6.0,44.900002,-5.6999998
nan,,,0.47343999,11.11,-17.457867,43.140186,45.0,-6.0,44.900002,-5.6999998
nan,,,0.47343999,11.11,-17.457867,37.621178,45.0,-6.0,45.099998,-4.4000001
nan,,,0.51567996,10.974999,-16.771753,37.621178,45.0,-6.0,45.099998,-4.4000001
nan,,,0.51567996,10.974999,-16.771753,37.211231,45.0,-6.0,45.200001,-3.5999999
nan,,,0.43695998,11.184999,-18.064777,37.211231,45.0,-6.0,45.200001,-3.5999999
nan,,,0.43695998,11.184999,-18.064777,37.847942,45.0,-6.0,45.0,-3.3
nan,,,0.39087999,11.005,-18.851286,37.302532,45.0,-6.0,45.0,-3.3
nan,,,0.39664,10.804999,-18.751724,36.691753,45.0,-6.0,44.900002,-3.3
nan,,,0.31983995,10.66,-20.109745,36.245792,45.0,-6.0,44.900002,-3.3
nan,,,0.38511997,10.639999,-18.95121,36.184074,45.0,-6.0,45.0,-3.2
nan,,,0.22767997,10.514999,-21.83168,35.797169,45.0,-6.0,45.099998,-3.4000001
nan,,,0.34095997,10.53,-19.729589,35.843704,45.0,-6.0,45.200001,-3.4000001
nan,,,0.32559997,10.554999,-20.005548,35.921192,45.0,-6.0,45.200001,-3.3
nan,,,0.38703996,10.49,-18.917862,35.719555,45.0,-6.0,45.299999,-3.2
nan,,,0.34287995,10.514999,-19.695288,35.797169,45.0,-6.0,45.299999,-3.4000001
nan,,,0.87088001,9.3850002,-11.607517,32.127193,45.0,-6.0,45.200001,-4.3000002
nan,,,0.86127996,9.1399994,-11.734774,31.408409,45.0,-6.0,45.099998,-5.8000002
nan,,,0.87471998,9.1549997,-11.55678,31.457623,45.0,-6.0,45.0,-6.5999999
nan,,,0.89968002,9.1049995,-11.229285,39.498047,45.0,-6.0,44.900002,-7.0
nan,,,0.92463994,9.0999994,-10.905674,39.480377,45.0,-6.0,44.799999,-7.0999999
nan,,,0.94768,9.0549994,-10.610312,39.321037,45.0,-6.0,44.799999,-7.0999999
nan,,,0.96495998,9.0149994,-10.390848,39.178894,45.0,-6.0,44.799999,-7.0
nan,,,0.97263992,8.9799995,-10.293869,39.054138,45.0,-6.0,44.799999,-7.0
nan,,,0.98031998,8.9549999,-10.197224,38.964806,45.0,-6.0,44.799999,-7.0999999
nan,,,0.98415995,8.9200001,-10.149031,38.839432,45.0,-6.0,44.799999,-7.1999998
